vloc_x,vloc_y,vloc_yaw,gls_x,gls_y,gls_yaw,vloc_stddev_x,vloc_stddev_y,vloc_stddev_yaw,gls_stddev_x,gls_stddev_y,gls_stddev_yaw,timestamp,status
1.725300,-0.145300,-0.229000,0.001100,-0.001390,-90.105472,0.000458,0.000458,0.007000,0.000000,0.000030,0.006043,2025-10-24 14:32:40.579,47
1.689600,-0.144700,-0.369000,-0.037420,-0.001000,-89.823115,0.000663,0.000640,0.003000,0.000040,0.000000,0.008166,2025-10-24 14:32:48.037,47
1.671000,-0.145300,-0.504000,-0.058070,-0.000720,-89.740165,0.000000,0.000458,0.004899,0.000046,0.000040,0.014699,2025-10-24 14:32:51.799,39
1.682500,-0.544200,-0.324000,-0.046330,-0.000830,-89.814875,0.000500,0.000400,0.014967,0.000046,0.000046,0.018186,2025-10-24 14:32:55.231,39
1.692500,-0.145000,-0.164000,-0.034700,-0.001030,-90.060976,0.000500,0.000000,0.008000,0.000000,0.000046,0.016333,2025-10-24 14:32:58.036,47
1.706400,-0.246400,0.004000,-0.020300,-0.001190,-90.227424,0.000490,0.000490,0.004899,0.000000,0.000030,0.007141,2025-10-24 14:33:01.237,47
1.718400,-0.245400,0.071000,-0.006200,-0.001300,-90.409253,0.000490,0.000490,0.013748,0.000000,0.000000,0.004255,2025-10-24 14:33:04.108,47
1.743500,-0.344500,0.325000,0.021600,-0.001460,-90.789392,0.000500,0.000500,0.005000,0.000000,0.000049,0.005382,2025-10-24 14:33:07.210,47
1.756000,-0.445400,0.362000,0.034590,-0.001450,-90.885525,0.000000,0.001356,0.007483,0.000030,0.000050,0.008875,2025-10-24 14:33:09.916,47
1.767000,-0.145200,0.376000,0.047570,-0.001420,-90.984405,0.000000,0.000748,0.008000,0.000046,0.000040,0.009531,2025-10-24 14:33:12.921,39
1.773700,-0.146000,0.418000,0.055390,-0.001370,-91.089877,0.000458,0.000000,0.010770,0.000030,0.000046,0.021197,2025-10-24 14:33:15.427,39
1.782200,-0.146400,0.483000,0.063760,-0.001420,-91.127232,0.000400,0.000490,0.009000,0.000156,0.000040,0.016489,2025-10-24 14:33:18.298,39
1.765900,-0.145500,0.439000,0.045760,-0.001500,-91.037141,0.000300,0.000500,0.007000,0.000049,0.000000,0.009842,2025-10-24 14:33:22.027,39
1.746200,-0.145000,0.308000,0.025220,-0.001600,-90.793237,0.000400,0.000000,0.007483,0.000040,0.000000,0.012394,2025-10-24 14:33:24.931,47
1.721300,-0.144600,0.224000,-0.002800,-0.001600,-90.566912,0.000458,0.000917,0.004899,0.000000,0.000000,0.006970,2025-10-24 14:33:27.802,47
1.704000,-0.145000,-0.105000,-0.021100,-0.001680,-90.161504,0.000000,0.000000,0.012845,0.000000,0.000040,0.004563,2025-10-24 14:33:30.607,47
1.678800,-0.145000,-0.460000,-0.048910,-0.001570,-89.867061,0.000400,0.000000,0.010954,0.000030,0.000046,0.014335,2025-10-24 14:33:35.525,39
1.670000,-0.145400,-0.704000,-0.060010,-0.001220,-89.489120,0.000000,0.000490,0.013565,0.000030,0.000040,0.031099,2025-10-24 14:33:38.296,39
