vloc_x,vloc_y,vloc_yaw,gls_x,gls_y,gls_yaw,vloc_stddev_x,vloc_stddev_y,vloc_stddev_yaw,gls_stddev_x,gls_stddev_y,gls_stddev_yaw,timestamp,status
-0.023820,-0.010880,178.764400,-0.064462,-0.014280,90.584490,0.000684,0.001032,0.016390,0.000056,0.000077,0.049284,2025-10-29 12:57:41.776,39
0.048840,-0.012680,176.543200,0.017300,-0.016696,93.199207,0.000987,0.001085,0.016424,0.000000,0.000020,0.008695,2025-10-29 12:57:55.072,47
0.049120,-0.010760,176.483000,0.017900,-0.016100,93.265017,0.000863,0.001011,0.013601,0.000000,0.000000,0.008074,2025-10-29 13:03:12.763,47
0.009340,-0.009060,176.756200,-0.027100,-0.012996,92.771825,0.000764,0.001139,0.012632,0.000000,0.000020,0.007910,2025-10-29 13:03:20.650,47
0.002480,-0.008480,177.374800,-0.034574,-0.012530,92.065163,0.000755,0.000640,0.018999,0.000044,0.000046,0.017097,2025-10-29 13:03:32.860,47
0.022440,-0.002440,-170.433000,-0.012248,-0.009478,80.034107,0.000637,0.000828,0.018894,0.000050,0.000041,0.004588,2025-10-29 13:03:49.163,47
0.037400,0.000720,-169.385800,0.005226,-0.006790,79.146495,0.001131,0.000917,0.038057,0.000056,0.000030,0.007019,2025-10-29 13:04:00.250,47
0.064760,0.006680,-167.858800,0.035098,-0.001424,77.730094,0.001556,0.000466,0.018071,0.000024,0.000043,0.019164,2025-10-29 13:04:10.744,47
0.051680,0.007420,-145.191000,0.021998,-0.010600,54.966826,0.000705,0.000777,0.021932,0.000014,0.000000,0.013995,2025-10-29 13:04:27.641,47
0.031140,-0.005960,-144.877000,-0.001096,-0.026296,54.483303,0.001000,0.000747,0.016155,0.000020,0.000020,0.011567,2025-10-29 13:04:42.853,47
0.013080,-0.019520,-145.199600,-0.020990,-0.039710,54.628437,0.000935,0.001024,0.020877,0.000030,0.000030,0.016707,2025-10-29 13:04:54.767,39
0.022740,0.026340,-114.729400,-0.001900,0.004002,24.435987,0.000770,0.000930,0.014479,0.000000,0.000014,0.005942,2025-10-29 13:05:12.751,47
-0.001200,0.015580,-31.566800,0.005300,-0.004006,-58.732286,0.000775,0.000494,0.012718,0.000000,0.000024,0.006697,2025-10-29 13:05:23.444,47
-0.045080,0.042140,-30.630000,-0.043482,0.027108,-59.157799,0.000627,0.000400,0.017205,0.000043,0.000048,0.030694,2025-10-29 13:05:35.159,39
-0.033840,0.043140,2.281200,-0.024166,0.040000,-92.282809,0.000504,0.000347,0.011771,0.000047,0.000020,0.029201,2025-10-29 13:06:00.139,39
-0.003600,0.044600,3.613000,0.008892,0.041410,-93.844893,0.000490,0.000490,0.016882,0.000027,0.000036,0.012817,2025-10-29 13:06:09.742,39
0.012680,0.046020,4.039800,0.027576,0.042670,-94.435865,0.001009,0.000374,0.027165,0.000062,0.000046,0.019406,2025-10-29 13:06:23.042,39
0.019880,0.045840,4.214600,0.036682,0.043418,-94.753490,0.000515,0.000367,0.023766,0.000038,0.000077,0.041280,2025-10-29 13:06:37.859,39
0.044700,0.056680,-91.205200,0.034746,0.033204,0.990228,0.001118,0.000676,0.023685,0.000050,0.000040,0.022777,2025-10-29 13:06:49.870,47
0.045300,0.019780,-93.147400,0.032800,-0.007800,2.820386,0.001082,0.000965,0.009962,0.000000,0.000000,0.009198,2025-10-29 13:06:59.342,47
0.045060,-0.000140,-94.288200,0.031100,-0.029168,3.929051,0.001702,0.000347,0.020658,0.000000,0.000047,0.012649,2025-10-29 13:07:15.248,47
0.042500,-0.030120,-178.106200,0.009640,-0.038400,87.896054,0.000922,0.000739,0.014407,0.000049,0.000000,0.013689,2025-10-29 13:07:28.151,47
0.060620,-0.028780,-178.628200,0.028642,-0.038038,88.510538,0.000485,0.000832,0.024470,0.000049,0.000049,0.025970,2025-10-29 13:07:42.044,47
0.047900,-0.029840,-179.346800,0.014544,-0.037652,89.178967,0.000458,0.001332,0.013629,0.000050,0.000050,0.014449,2025-10-29 13:08:07.948,47
0.008600,-0.030440,-179.746600,-0.028402,-0.037466,89.206323,0.000632,0.000637,0.010317,0.000014,0.000047,0.012550,2025-10-29 13:08:19.268,47
0.020600,0.033400,-130.543800,-0.007282,0.015744,40.345994,0.000632,0.001342,0.014127,0.000038,0.000050,0.011376,2025-10-29 13:08:56.260,47
0.041200,0.059200,-129.049200,0.016716,0.043504,38.987494,0.000748,0.000775,0.009347,0.000046,0.000040,0.028934,2025-10-29 13:09:04.840,39
0.009140,0.018740,-131.302000,-0.020808,0.000000,40.903238,0.001183,0.000867,0.014422,0.000027,0.000000,0.008959,2025-10-29 13:09:17.746,47
