vloc_x,vloc_y,vloc_yaw,gls_x_aligned,gls_y_aligned,gls_yaw_aligned_deg,residual_x,residual_y,residual_yaw_deg
1.735700,-0.123800,4.392000,1.738876,-0.173868,-175.231659,-0.003176,0.050068,179.623659
1.748400,-0.115400,-89.186000,1.757694,-0.155255,91.018593,-0.009294,0.039855,179.795407
1.753600,-0.138700,-177.362000,1.760711,-0.164278,3.037392,-0.007111,0.025578,179.600608
1.719000,-0.150000,89.788000,1.740616,-0.160102,-89.771897,-0.021616,0.010102,179.559897
1.698300,-0.129700,0.606000,1.732447,-0.131613,-179.179167,-0.034147,0.001913,179.785167
1.708800,-0.129300,-85.633000,1.741112,-0.112758,94.641995,-0.032312,-0.016542,179.725005
1.714000,-0.151600,-176.742000,1.746326,-0.119078,3.892704,-0.032326,-0.032522,179.365296
1.681400,-0.163200,93.532000,1.728751,-0.115862,-86.123776,-0.047351,-0.047338,179.655776
1.659400,-0.142200,-0.006000,1.719640,-0.087749,-179.797167,-0.060240,-0.054451,179.791167
1.659500,-0.142000,0.001000,1.719639,-0.087711,-179.794969,-0.060139,-0.054289,179.795969
1.710300,-0.141700,-2.195000,1.718844,-0.143571,178.055490,-0.008544,0.001871,179.749510
1.713700,-0.138700,-28.482000,1.721908,-0.138013,151.769898,-0.008208,-0.000687,179.748102
1.721000,-0.139600,-90.447000,1.730731,-0.125746,89.939153,-0.009731,-0.013854,179.613847
1.720000,-0.169000,179.626000,1.727028,-0.126691,0.290727,-0.007028,-0.042309,179.335273
1.697300,-0.169300,128.149000,1.727682,-0.120064,-51.668501,-0.030382,-0.049236,179.817501
1.677800,-0.159400,86.596000,1.729089,-0.114260,-93.028344,-0.051289,-0.045140,179.624344
1.672000,-0.143600,36.298000,1.726284,-0.109206,-143.580180,-0.054284,-0.034394,179.878180
1.666500,-0.139200,-2.533000,1.723439,-0.094103,177.515495,-0.056939,-0.045097,179.951505
1.665600,-0.132000,-45.676000,1.730885,-0.078877,134.427999,-0.065285,-0.053123,179.896001
1.681000,-0.145100,-46.287000,1.716067,-0.093531,133.790223,-0.035067,-0.051569,179.922777
1.671600,-0.151200,-0.812000,1.709924,-0.100645,179.386524,-0.038324,-0.050555,179.801476
1.709000,-0.150400,-0.150000,1.709022,-0.141711,-179.901540,-0.000022,-0.008689,179.751540
1.753400,-0.151000,0.586000,1.708800,-0.191608,-178.953391,0.044600,0.040608,179.539391
1.693600,-0.151300,-0.440000,1.708896,-0.125334,179.723265,-0.015296,-0.025966,179.836735
1.652400,-0.151400,-0.464000,1.709460,-0.079417,179.906193,-0.057060,-0.071983,179.629807
1.683000,-0.151300,0.280000,1.709166,-0.113926,-179.559855,-0.026166,-0.037374,179.839855
1.714000,-0.151200,1.318000,1.709202,-0.148005,-178.412847,0.004798,-0.003195,179.730847
1.717000,-0.145000,-33.848000,1.714648,-0.138600,146.464987,0.002352,-0.006400,179.687013
1.733400,-0.156000,-34.392000,1.702588,-0.156257,146.118907,0.030812,0.000257,179.489093
1.739800,-0.159400,-34.828000,1.698628,-0.162029,145.697569,0.041172,0.002629,179.474431
1.683800,-0.122000,-35.664000,1.739741,-0.102730,144.452780,-0.055941,-0.019270,179.883220
1.747000,-0.167000,-37.196000,1.690811,-0.169879,143.392018,0.056189,0.002879,179.411982
1.717600,-0.149200,49.550000,1.723394,-0.163351,-130.128659,-0.005794,0.014151,179.678659
1.739000,-0.127400,49.802000,1.749761,-0.185714,-129.740280,-0.010761,0.058314,179.542280
1.719400,-0.147800,48.722000,1.725960,-0.165211,-130.971336,-0.006560,0.017411,179.693336
1.701700,-0.168300,47.706000,1.702530,-0.143885,-132.044184,-0.000830,-0.024415,179.750184
1.687600,-0.182200,47.508000,1.687572,-0.130068,-132.289186,0.000028,-0.052132,179.797186
1.750000,-0.125000,127.424000,1.776831,-0.179716,-52.143125,-0.026831,0.054716,179.567125
1.780700,-0.163600,129.428000,1.733440,-0.212302,-50.380314,0.047260,0.048702,179.808314
1.808400,-0.194000,131.958000,1.698953,-0.241214,-47.896779,0.109447,0.047214,179.854779
1.808400,-0.192600,131.934000,1.698995,-0.241095,-47.981376,0.109405,0.048495,179.915376
1.778700,-0.163600,129.936000,1.733443,-0.211595,-49.856800,0.045257,0.047995,179.792800
1.764700,-0.137700,-135.852000,1.749509,-0.167226,44.464255,0.015191,0.029526,179.683745
1.783700,-0.117000,-135.255000,1.769823,-0.188358,44.930089,0.013877,0.071358,179.814911
1.751000,-0.150200,-136.536000,1.735181,-0.151380,43.910527,0.015819,0.001180,179.553473
1.735000,-0.165200,-135.656000,1.719214,-0.134427,44.999855,0.015786,-0.030773,179.344145
1.716600,-0.181200,-134.504000,1.698151,-0.112836,46.255630,0.018449,-0.068364,179.240370
1.727900,-0.171300,-135.173000,1.711496,-0.126004,45.522271,0.016404,-0.045296,179.304729
1.745800,-0.153600,-135.978000,1.731149,-0.145933,44.505455,0.014651,-0.007667,179.516545
1.768400,-0.131600,-135.633000,1.755643,-0.171611,44.621364,0.012757,0.040011,179.745636
1.782500,-0.117000,-134.870000,1.770342,-0.186874,45.332201,0.012158,0.069874,179.797799
1.768800,-0.130900,-135.899000,1.755423,-0.171400,44.371418,0.013377,0.040500,179.729582
1.747300,-0.142000,-54.289000,1.719046,-0.164663,126.083079,0.028254,0.022663,179.627921
1.762300,-0.162600,-53.330000,1.694753,-0.181947,127.189436,0.067547,0.019347,179.480564
1.745300,-0.138000,-53.691000,1.722873,-0.161573,126.665921,0.022427,0.023573,179.643079
1.718100,-0.102700,-52.304000,1.761650,-0.133218,127.745910,-0.043550,0.030518,179.950090
1.728700,-0.115400,-52.754000,1.747977,-0.143689,127.399830,-0.019277,0.028289,179.846170
1.741600,-0.132600,-53.758000,1.728064,-0.158411,126.562646,0.013536,0.025811,179.679354
1.753600,-0.149900,-54.859000,1.709520,-0.171636,125.578791,0.044080,0.021736,179.562209
1.769000,-0.168700,-56.210000,1.688734,-0.185941,124.364764,0.080266,0.017241,179.425236
1.752400,-0.151000,-4.383000,1.707420,-0.189248,176.117442,0.044980,0.038248,179.499558
