vloc_x,vloc_y,vloc_yaw,gls_x_aligned,gls_y_aligned,gls_yaw_aligned_deg,residual_x,residual_y,residual_yaw_deg
1.735700,-0.123800,4.392000,1.739739,-0.122962,94.768341,-0.004039,-0.000838,-90.376341
1.748400,-0.115400,-89.186000,1.751098,-0.110908,1.018593,-0.002698,-0.004492,-90.204593
1.753600,-0.138700,-177.362000,1.753225,-0.136400,-86.962608,0.000375,-0.002300,-90.399392
1.719000,-0.150000,89.788000,1.719430,-0.149050,-179.771897,-0.000430,-0.000950,-90.440103
1.698300,-0.129700,0.606000,1.698664,-0.128648,90.820833,-0.000364,-0.001052,-90.214833
1.708800,-0.129300,-85.633000,1.707903,-0.126385,4.641995,0.000897,-0.002915,-90.274995
1.714000,-0.151600,-176.742000,1.708217,-0.150662,-86.107296,0.005783,-0.000938,-90.634704
1.681400,-0.163200,93.532000,1.675907,-0.162091,-176.123776,0.005493,-0.001109,-90.344224
1.659400,-0.142200,-0.006000,1.654995,-0.141344,90.202833,0.004405,-0.000856,-90.208833
1.659500,-0.142000,0.001000,1.654954,-0.141346,90.205031,0.004546,-0.000654,-90.204031
1.710300,-0.141700,-2.195000,1.711524,-0.141754,88.055490,-0.001224,0.000054,-90.250490
1.713700,-0.138700,-28.482000,1.715253,-0.136316,61.769898,-0.001553,-0.002384,-90.251898
1.721000,-0.139600,-90.447000,1.721820,-0.138274,-0.060847,-0.000820,-0.001326,-90.386153
1.720000,-0.169000,179.626000,1.714686,-0.170650,-89.709273,0.005314,0.001650,-90.664727
1.697300,-0.169300,128.149000,1.689789,-0.171135,-141.668501,0.007511,0.001835,-90.182499
1.677800,-0.159400,86.596000,1.673039,-0.159538,176.971656,0.004761,0.000138,-90.375656
1.672000,-0.143600,36.298000,1.667634,-0.144432,126.419820,0.004366,0.000832,-90.121820
1.666500,-0.139200,-2.533000,1.662167,-0.137102,87.515495,0.004333,-0.002098,-90.048495
1.665600,-0.132000,-45.676000,1.662366,-0.128151,44.427999,0.003234,-0.003849,-90.103999
1.681000,-0.145100,-46.287000,1.677235,-0.143032,43.790223,0.003765,-0.002068,-90.077223
1.671600,-0.151200,-0.812000,1.668149,-0.150915,89.386524,0.003451,-0.000285,-90.198524
1.709000,-0.150400,-0.150000,1.709002,-0.151936,90.098460,-0.000002,0.001536,-90.248460
1.753400,-0.151000,0.586000,1.758665,-0.152292,91.046609,-0.005265,0.001292,-90.460609
1.693600,-0.151300,-0.440000,1.692718,-0.152009,89.723265,0.000882,0.000709,-90.163265
1.652400,-0.151400,-0.464000,1.646810,-0.151441,89.906193,0.005590,0.000041,-90.370193
