# Lever Arm Calibration (Coordinate-Aware)
# GLS: x=right, y=forward, heading: 180°=forward, [-180°,180°]
# VSLAM: x=forward, y=left, heading: 0°=forward, [0°,360°]
#
# Calibration (in standard frame: x=forward, y=left):
# tx = 0.0856913 m
# ty = 0.573245 m
# theta = 117.704 deg
#
# Statistics:
# Position RMSE = 6.44108 cm
# Heading RMSE = 45.3719 deg
# X: mean=-3.0125e-15cm, std=4.44007cm
# Y: mean=5.60189e-15cm, std=4.77604cm
# Heading: mean=0.472663°, std=45.9331°
#
sample,gls_x,gls_y,gls_theta,vslam_x,vslam_y,vslam_theta,error_x_cm,error_y_cm,error_theta_deg,error_dist_cm
1,-0.408,-0.446,-47.842,0.0014,-0.0702,-175.045,6.95935,-5.88939,-64.9066,9.11688
2,-0.399,-0.446,-48.1858,0.0024,-0.0608,-174.814,6.26252,-5.3678,-64.3321,8.24818
3,-0.392,-0.448,-51.5662,0.0036,-0.0504,-174.386,5.66979,-4.47615,-60.5232,7.22374
4,-0.392,-0.448,-51.4516,0.0036,-0.0505,-174.347,5.66979,-4.48615,-60.5993,7.22994
5,-0.381,-0.45,-52.5402,0.0045,-0.0408,-173.974,4.69291,-3.85047,-59.1371,6.07037
6,-0.367,-0.451,-55.1758,0.0057,-0.0304,-173.589,3.5269,-3.37278,-56.117,4.88003
7,-0.361,-0.453,-57.4677,0.0071,-0.0207,-173.243,3.04271,-2.50465,-53.4791,3.94098
8,-0.351,-0.454,-60.6189,0.0087,-0.0092,-172.787,2.27085,-1.73101,-49.8719,2.85537
9,-0.338,-0.454,-63.4837,0.0105,0.0036,-172.342,1.29988,-1.05538,-46.5621,1.67437
10,-0.331,-0.458,-64.8588,0.0116,0.0108,-172.145,0.604164,-0.306658,-44.9893,0.677534
11,-0.322,-0.459,-67.3798,0.0131,0.0207,-171.776,-0.0891542,0.353471,-42.1002,0.364541
12,-0.316,-0.459,-69.0414,0.0144,0.0289,-171.551,-0.490373,0.894533,-40.2134,1.02013
13,-0.306,-0.462,-70.5884,0.0159,0.0384,-171.386,-1.36521,1.64525,-38.5016,2.1379
14,-0.295,-0.466,-71.9062,0.0183,0.052,-171.167,-2.28507,2.848,-36.9641,3.65139
15,-0.288,-0.466,-72.7083,0.0195,0.0603,-171.2,-2.78482,3.35258,-36.1949,4.35833
16,-0.275,-0.47,-74.0834,0.0224,0.0772,-171.013,-3.83176,4.79236,-34.633,6.13588
17,-0.258,-0.475,-74.5418,0.0266,0.0969,-170.491,-5.14932,6.41471,-33.6528,8.22582
18,-0.335,-0.553,137.385,0.0916,0,89.6402,4.54179,7.21027,14.552,8.52149
19,-0.336,-0.547,137.041,0.085,0.0001,89.6457,4.24926,6.73554,14.9012,7.9639
20,-0.335,-0.542,136.984,0.0799,0,89.8489,3.88318,6.23637,15.1618,7.34652
21,-0.337,-0.534,136.525,0.0731,0,89.8874,3.75217,5.62105,15.6586,6.75833
22,-0.336,-0.527,136.01,0.0642,0,90.1895,3.09906,4.95481,16.4764,5.84417
23,-0.333,-0.498,135.265,0.0314,0.0006,90.2664,0.901649,2.30778,17.2982,2.47766
24,-0.332,-0.482,134.634,0.0119,0.0009,90.2994,-0.393052,0.874707,17.9614,0.958959
25,-0.331,-0.471,134.348,0.0005,0.0011,90.3049,-1.1102,-0.125684,18.2533,1.11729
26,-0.329,-0.463,134.062,-0.0106,0.0014,90.3488,-2.02536,-0.896955,18.5838,2.21509
27,-0.329,-0.433,132.858,-0.0422,0.002,90.3873,-3.79067,-3.49305,19.8254,5.15466
28,-0.327,-0.406,132.171,-0.0721,0.003,90.64,-5.70252,-5.87651,20.7657,8.18854
29,-0.326,-0.404,131.884,-0.0745,0.0028,90.607,-5.93808,-6.12008,21.0192,8.52737
30,-0.326,-0.396,131.655,-0.083,0.0036,90.9311,-6.41616,-6.74837,21.5725,9.31169
31,-0.324,-0.39,131.254,-0.0906,0.0036,90.9476,-7.07429,-7.37257,21.99,10.2176
32,-0.324,-0.381,130.91,-0.1012,0.0039,90.9641,-7.71588,-8.13939,22.3503,11.2154
33,-0.338,-0.551,111.773,0.0903,0.0003,94.1997,4.77038,7.20266,44.7226,8.63915
34,-0.337,-0.551,111.659,0.0902,0,94.4304,4.67184,7.12617,45.068,8.52106
35,-0.337,-0.547,109.367,0.0857,0.0009,94.3919,4.4078,6.86203,47.3213,8.15574
36,-0.333,-0.526,103.007,0.0629,0.003,95.9081,2.74994,5.0268,55.1973,5.72982
37,-0.329,-0.502,96.9911,0.0366,0.0062,97.0287,0.881544,3.03597,62.334,3.16136
38,-0.324,-0.464,88.1676,-0.0056,0.0125,98.2977,-2.01453,0.069133,72.4265,2.01572
39,-0.317,-0.437,84.2142,-0.037,0.0177,98.8415,-4.51906,-2.12678,76.9238,4.99451
40,-0.309,-0.408,81.5213,-0.0709,0.0239,99.4513,-7.26915,-4.44626,80.2264,8.52114
41,-0.308,-0.398,80.3181,-0.0814,0.0259,99.5886,-7.94279,-5.17811,81.567,9.4816
