# Sensor Calibration Results
# GLS100 to VSLAM Camera Transform
#
# Calibration Parameters:
# tx = -0.0853011 m
# ty = -0.0416418 m
# theta = 33.3519 deg
#
# Validation Statistics:
# X error - Mean: 66.7203 cm, Std: 9.52058 cm, RMSE: 67.3798 cm
# Y error - Mean: 2.43597 cm, Std: 6.38148 cm, RMSE: 6.75752 cm
# Theta error - Mean: -95.1757 deg, Std: 45.9331 deg, RMSE: 105.436 deg
# 2D Distance - Mean: 67.0532 cm, Std: 9.5816 cm, RMSE: 67.7178 cm
#
sample,gls_x,gls_y,gls_theta,vslam_x,vslam_y,vslam_theta,error_x_cm,error_y_cm,error_theta_deg,error_dist_cm
1,-0.446,0.408,-47.842,0.0014,-0.0702,-175.045,68.3559,-12.4162,-160.555,69.4744
2,-0.446,0.399,-48.1858,0.0024,-0.0608,-174.814,67.9611,-10.7245,-159.98,68.8021
3,-0.448,0.392,-51.5662,0.0036,-0.0504,-174.386,67.8634,-8.9898,-156.172,68.4562
4,-0.448,0.392,-51.4516,0.0036,-0.0505,-174.347,67.8634,-8.9998,-156.248,68.4575
5,-0.45,0.381,-52.5402,0.0045,-0.0408,-173.974,67.5157,-7.001,-154.786,67.8777
6,-0.451,0.367,-55.1758,0.0057,-0.0304,-173.589,66.9495,-4.73659,-151.765,67.1168
7,-0.453,0.361,-57.4677,0.0071,-0.0207,-173.243,66.9267,-3.15545,-149.127,67.001
8,-0.454,0.351,-60.6189,0.0087,-0.0092,-172.787,66.6204,-1.11516,-145.52,66.6298
9,-0.454,0.338,-63.4837,0.0105,0.0036,-172.342,66.0857,1.25074,-142.211,66.0976
10,-0.458,0.331,-64.8588,0.0116,0.0108,-172.145,66.145,2.77537,-140.638,66.2032
11,-0.459,0.322,-67.3798,0.0131,0.0207,-171.776,65.8837,4.57213,-137.749,66.0422
12,-0.459,0.316,-69.0414,0.0144,0.0289,-171.551,65.6839,5.89331,-135.862,65.9477
13,-0.462,0.306,-70.5884,0.0159,0.0384,-171.386,65.5347,7.84356,-134.15,66.0024
14,-0.466,0.295,-71.9062,0.0183,0.052,-171.167,65.504,10.3423,-132.612,66.3155
15,-0.466,0.288,-72.7083,0.0195,0.0603,-171.2,65.2392,11.757,-131.843,66.2901
16,-0.47,0.275,-74.0834,0.0224,0.0772,-171.013,65.1486,14.7528,-130.281,66.7981
17,-0.475,0.258,-74.5418,0.0266,0.0969,-170.491,65.0516,18.4178,-129.301,67.6086
18,-0.553,0.335,137.385,0.0916,0,89.6402,82.3004,6.58416,-81.0964,82.5633
19,-0.547,0.336,137.041,0.085,0.0001,89.6457,81.1941,6.18076,-80.7471,81.4291
20,-0.542,0.335,136.984,0.0799,0,89.8489,80.2115,5.9794,-80.4866,80.4341
21,-0.534,0.337,136.525,0.0731,0,89.8874,78.9732,5.37252,-79.9898,79.1558
22,-0.527,0.336,136.01,0.0642,0,90.1895,77.4435,5.0712,-79.172,77.6094
23,-0.498,0.333,135.265,0.0314,0.0006,90.2664,71.5762,3.78743,-78.3502,71.6763
24,-0.482,0.332,134.634,0.0119,0.0009,90.2994,68.2347,3.02131,-77.687,68.3016
25,-0.471,0.331,134.348,0.0005,0.0011,90.3049,66.1209,2.52009,-77.395,66.1689
26,-0.463,0.329,134.062,-0.0106,0.0014,90.3488,64.2327,2.27732,-77.0646,64.2731
27,-0.433,0.329,132.858,-0.0422,0.002,90.3873,58.5668,0.687984,-75.8229,58.5708
28,-0.406,0.327,132.171,-0.0721,0.003,90.64,53.2115,-0.529361,-74.8827,53.2141
29,-0.404,0.326,131.884,-0.0745,0.0028,90.607,52.7494,-0.575786,-74.6292,52.7526
30,-0.396,0.326,131.655,-0.083,0.0036,90.9311,51.2312,-0.93561,-74.0759,51.2397
31,-0.39,0.324,131.254,-0.0906,0.0036,90.9476,49.8601,-1.09842,-73.6583,49.8722
32,-0.381,0.324,130.91,-0.1012,0.0039,90.9641,48.0483,-1.56322,-73.2981,48.0737
33,-0.551,0.338,111.773,0.0903,0.0003,94.1997,82.1682,6.25361,-50.9257,82.4059
34,-0.551,0.337,111.659,0.0902,0,94.4304,82.1032,6.30714,-50.5804,82.3451
35,-0.547,0.337,109.367,0.0857,0.0009,94.3919,81.3191,6.17723,-48.327,81.5534
36,-0.526,0.333,103.007,0.0629,0.003,95.9081,77.0651,5.56682,-40.451,77.2659
37,-0.502,0.329,96.9911,0.0366,0.0062,97.0287,72.2104,4.90147,-33.3144,72.3766
38,-0.464,0.324,88.1676,-0.0056,0.0125,98.2977,64.5413,3.85996,-23.2218,64.6567
39,-0.437,0.317,84.2142,-0.037,0.0177,98.8415,58.7612,3.48027,-18.7246,58.8641
40,-0.408,0.309,81.5213,-0.0709,0.0239,99.4513,52.5089,3.17415,-15.4219,52.6048
41,-0.398,0.308,80.3181,-0.0814,0.0259,99.5886,50.5687,2.9079,-14.0814,50.6522
