# Sensor Calibration Results
# GLS100 to VSLAM Camera Transform
#
# Calibration Parameters:
# tx = -0.0338909 m
# ty = 0.0188884 m
# theta = -89.0152 deg
#
# Validation Statistics:
# X error - Mean: 48.1363 cm, Std: 5.24682 cm, RMSE: 48.4133 cm
# Y error - Mean: -33.6682 cm, Std: 6.19833 cm, RMSE: 34.2179 cm
# Theta error - Mean: 47.2289 deg, Std: 108.247 deg, RMSE: 116.676 deg
# 2D Distance - Mean: 59.0073 cm, Std: 5.81507 cm, RMSE: 59.285 cm
#
sample,gls_x,gls_y,gls_theta,vslam_x,vslam_y,vslam_theta,error_x_cm,error_y_cm,error_theta_deg,error_dist_cm
1,-0.395,-0.422,-28.7052,-0.0272,-0.0554,-178.088,43.5418,-46.1977,-60.368,63.4832
2,-0.406,-0.42,-28.1322,-0.0281,-0.0702,-177.918,43.2707,-48.781,-60.7706,65.2069
3,-0.356,-0.425,-29.3354,-0.0249,-0.0106,-178.143,44.0047,-37.8131,-59.7926,58.0193
4,-0.318,-0.428,-30.7105,-0.0229,0.0293,-178.099,44.4393,-30.0185,-58.3736,53.628
5,-0.287,-0.432,-164.829,-0.0081,0.0376,-91.7716,46.266,-26.0821,162.073,53.1114
6,-0.287,-0.433,-164.657,-0.0081,0.0376,-91.7771,46.366,-26.0804,161.896,53.1976
7,-0.288,-0.457,-167.35,0.0192,0.038,-91.3816,51.4973,-26.0991,164.984,57.7333
8,-0.287,-0.413,-165.059,-0.0297,0.0372,-91.5793,42.2063,-26.1547,162.494,49.6532
9,-0.288,-0.428,-163.855,-0.012,0.0374,-91.8815,45.4778,-26.2089,160.989,52.4894
10,-0.269,-0.45,-68.0419,-0.0135,0.042,0.159307,47.4948,-23.8114,157.216,53.1294
11,-0.344,-0.445,-78.126,-0.0154,-0.0421,1.42277,46.9338,-39.7289,168.564,61.4912
12,-0.296,-0.449,-69.3024,-0.0134,0.0099,0.159307,47.4512,-29.7227,158.477,55.9916
13,-0.262,-0.45,-58.359,-0.0127,0.0493,-1.49968,47.5628,-22.3815,145.874,52.5657
14,-0.325,-0.462,162.194,-0.0096,0.0058,85.3829,49.1809,-33.01,12.2043,59.2319
15,-0.326,-0.44,158.584,-0.0341,0.0042,85.9102,44.5329,-33.3078,16.3413,55.611
16,-0.325,-0.534,141.911,0.0704,0.0096,88.8272,64.3798,-32.5062,35.9313,72.1208
17,-0.323,-0.483,144.604,0.0135,0.0086,88.58,53.5871,-32.4939,32.9912,62.6692
18,-0.323,-0.45,134.233,-0.0236,0.0083,90.184,46.5776,-32.5806,44.9658,56.8416
19,-0.325,-0.436,4.28657,-0.035,0.0134,112.822,44.0412,-32.2947,-162.449,54.613
20,-0.325,-0.436,4.28657,-0.0349,0.0134,112.828,44.0512,-32.2947,-162.444,54.621
21,-0.325,-0.436,4.22927,-0.0349,0.0134,112.833,44.0512,-32.2947,-162.381,54.621
22,-0.343,-0.473,-5.85479,0.0068,-0.0049,114.838,51.9516,-35.8608,-150.292,63.1266
23,-0.357,-0.499,-14.2773,0.0377,-0.0197,116.431,57.6653,-38.6959,-140.276,69.4454
24,-0.343,-0.478,177.742,0.0411,-0.0009,-151.737,55.8816,-35.4522,119.536,66.1786
25,-0.362,-0.466,-177.617,0.0284,-0.0239,-152.336,53.4444,-39.6725,114.297,66.5599
26,-0.382,-0.454,-173.492,0.0165,-0.046,-152.841,51.089,-43.9029,109.666,67.3613
27,-0.35,-0.474,-176.815,0.0367,-0.0082,-152.561,55.0537,-36.889,113.269,66.2699
28,-0.344,-0.459,-19.1156,0.0163,-0.0365,-54.7191,51.5036,-39.1448,53.4116,64.6911
29,-0.335,-0.445,-20.3188,0.0032,-0.0274,-54.4224,48.7783,-37.359,54.9115,61.4412
30,-0.317,-0.423,-27.538,-0.0233,-0.0077,-52.9667,43.8977,-33.6271,63.5865,55.2973
31,-0.297,-0.4,-33.6687,-0.0484,0.0115,-51.7527,39.0537,-29.7469,70.9312,49.0924
32,-0.329,-0.448,41.5182,-0.0243,-0.0159,43.4797,46.3179,-35.604,90.9767,58.4208
33,-0.352,-0.423,36.5908,-0.0513,-0.0438,44.0455,41.1578,-40.7366,96.4699,57.9089
34,-0.316,-0.462,36.9918,-0.0088,-0.0004,44.3971,49.2454,-32.7301,96.4204,59.1301
35,-0.299,-0.479,32.6374,0.0102,0.0186,45.3035,52.8159,-29.1011,101.681,60.3025
