vloc_x,vloc_y,vloc_yaw,gls_x,gls_y,gls_yaw,vloc_stddev_x,vloc_stddev_y,vloc_stddev_yaw,gls_stddev_x,gls_stddev_y,gls_stddev_yaw,timestamp,status
1.110000,0.214700,-7.191000,-0.004410,-0.018400,-173.091037,0.000000,0.000458,0.013748,0.000030,0.000000,0.007788,2025-10-22 20:12:17.284,47
1.071000,0.219800,-8.141000,-0.010130,-0.061800,-172.135746,0.000894,0.000400,0.005385,0.000046,0.000000,0.026138,2025-10-22 20:12:27.184,39
1.122200,0.211600,-8.812000,-0.001210,-0.003400,-171.523789,0.000600,0.000490,0.006000,0.000030,0.000000,0.004913,2025-10-22 20:12:31.904,47
1.166900,0.205800,-9.359000,0.006290,0.042500,-171.259560,0.000943,0.000400,0.009434,0.000030,0.000000,0.011897,2025-10-22 20:12:37.875,39
1.163000,0.205000,-9.502000,0.006010,0.040990,-171.075533,0.001095,0.000000,0.004000,0.000030,0.000030,0.011575,2025-10-22 20:12:56.190,39
1.071800,0.220300,-10.789000,-0.011110,-0.061280,-169.593432,0.000980,0.000458,0.015133,0.000030,0.000040,0.033970,2025-10-22 20:13:01.669,39
1.085500,0.213900,24.917000,-0.016350,-0.047090,154.772423,0.001360,0.000300,0.014177,0.000050,0.000030,0.017056,2025-10-22 20:13:07.279,47
1.079400,0.215000,11.563000,-0.013260,-0.053730,168.258003,0.001625,0.000000,0.004583,0.000049,0.000110,0.015391,2025-10-22 20:13:16.288,39
1.088400,0.219600,-9.968000,-0.010100,-0.041020,-170.221870,0.000800,0.000490,0.016000,0.000000,0.000040,0.012527,2025-10-22 20:13:23.976,39
1.132600,0.211000,-88.234000,0.017200,-0.024400,-92.303354,0.000917,0.000000,0.015620,0.000000,0.000000,0.012953,2025-10-22 20:13:35.791,47
1.138100,0.193200,-135.121000,0.025960,-0.035090,-45.561693,0.000831,0.000980,0.007000,0.000049,0.000030,0.016480,2025-10-22 20:13:41.994,39
1.134400,0.180000,-170.853000,0.027200,-0.046750,-9.833613,0.000490,0.000000,0.016763,0.000045,0.000050,0.021759,2025-10-22 20:13:48.495,39
1.126500,0.168600,150.084000,0.021930,-0.050440,29.346477,0.001285,0.000490,0.019596,0.000064,0.000049,0.020377,2025-10-22 20:13:52.984,39
1.109300,0.169300,101.103000,0.014410,-0.048090,78.366222,0.000458,0.000458,0.011874,0.000030,0.000030,0.025772,2025-10-22 20:13:57.999,39
1.101700,0.183400,58.315000,0.006220,-0.039620,121.209265,0.000458,0.000917,0.022913,0.000040,0.000040,0.016072,2025-10-22 20:14:02.685,47
1.109700,0.196600,13.750000,0.003480,-0.025600,165.944212,0.000458,0.000490,0.027568,0.000040,0.000000,0.008875,2025-10-22 20:14:09.385,47
1.116300,0.201700,-6.192000,0.005900,-0.017300,-174.150151,0.001345,0.000458,0.018330,0.000000,0.000000,0.007141,2025-10-22 20:14:14.895,47
1.151400,0.194300,88.800000,-0.013800,0.002500,90.508683,0.000490,0.000458,0.000000,0.000000,0.000000,0.006705,2025-10-22 20:14:22.287,47
1.161400,0.219000,175.745000,-0.024000,-0.016200,3.564074,0.000917,0.000000,0.012845,0.000000,0.000000,0.006406,2025-10-22 20:14:28.392,47
1.133000,0.223600,-95.605000,0.002200,-0.030000,-84.914823,0.000000,0.000490,0.012845,0.000000,0.000000,0.010652,2025-10-22 20:14:34.497,47
1.121800,0.188000,0.042000,0.023900,-0.005750,179.631397,0.000400,0.000000,0.004000,0.000000,0.000050,0.010262,2025-10-22 20:14:42.681,47
1.160100,0.180600,94.911000,0.001880,0.010400,84.531388,0.000300,0.000490,0.003000,0.000040,0.000000,0.006018,2025-10-22 20:14:49.776,47
1.145200,0.123400,119.980000,0.065580,-0.017510,59.619678,0.000748,0.000490,0.000000,0.000125,0.000070,0.048668,2025-10-22 20:15:21.951,39
1.143700,0.124400,119.977000,0.065640,-0.017550,59.660878,0.000458,0.000917,0.004583,0.000143,0.000081,0.043408,2025-10-22 20:15:26.637,39
1.127400,0.154400,118.660000,0.030140,-0.037010,60.936430,0.000490,0.000490,0.000000,0.000049,0.000030,0.029047,2025-10-22 20:15:30.267,39
1.156400,0.110800,90.706000,0.080990,0.006430,88.795862,0.001356,0.000980,0.008000,0.000054,0.000064,0.047195,2025-10-22 20:16:09.075,39
1.154700,0.155200,90.446000,0.030400,0.006110,89.212806,0.001418,0.000400,0.009165,0.000000,0.000030,0.011470,2025-10-22 20:16:22.375,47
1.153600,0.220000,90.610000,-0.042310,0.005490,88.535478,0.000490,0.000775,0.014832,0.000030,0.000030,0.010552,2025-10-22 20:16:30.987,39
1.160400,0.220200,109.462000,-0.043210,0.003290,69.737297,0.000490,0.000748,0.007483,0.000030,0.000030,0.011640,2025-10-22 20:16:40.491,47
1.181500,0.158100,111.970000,0.026310,0.028280,67.689383,0.000671,0.000831,0.016733,0.000030,0.000040,0.009010,2025-10-22 20:16:46.367,47
1.173600,0.178400,114.332000,0.003250,0.018600,65.214087,0.000490,0.000490,0.016613,0.000050,0.000000,0.010203,2025-10-22 20:16:51.481,47
1.176300,0.192600,161.832000,0.000000,0.003420,17.669301,0.000458,0.000490,0.012490,0.000000,0.000040,0.006142,2025-10-22 20:16:57.882,47
1.146600,0.201800,161.548000,-0.011000,-0.029000,17.739616,0.000490,0.000400,0.007483,0.000000,0.000000,0.008875,2025-10-22 20:17:07.189,47
1.145900,0.208000,176.330000,-0.010800,-0.032300,3.001556,0.000831,0.000775,0.007746,0.000000,0.000000,0.005035,2025-10-22 20:17:16.298,47
1.131000,0.210000,175.238000,-0.012500,-0.050580,4.007935,0.000775,0.000000,0.009798,0.000000,0.000040,0.016147,2025-10-22 20:17:26.692,39
1.193800,0.201800,174.888000,-0.005390,0.023200,4.705588,0.001470,0.000748,0.018330,0.000030,0.000000,0.011041,2025-10-22 20:17:32.763,47
1.168700,0.204300,-99.909000,0.022300,0.009000,-80.610248,0.000458,0.000458,0.008307,0.000000,0.000000,0.008439,2025-10-22 20:17:59.295,47
1.176000,0.256000,-99.117000,-0.034300,0.019790,-81.140904,0.000000,0.000000,0.004583,0.000000,0.000030,0.014903,2025-10-22 20:18:07.677,47
1.167600,0.195000,-101.762000,0.033500,0.006970,-78.808435,0.000490,0.000000,0.007483,0.000000,0.000046,0.015499,2025-10-22 20:18:11.375,47
1.181000,0.272400,-100.426000,-0.052690,0.024760,-79.630238,0.000000,0.000490,0.004899,0.000030,0.000049,0.029151,2025-10-22 20:18:22.363,39
1.174100,0.229000,-100.520000,-0.004600,0.015220,-79.901059,0.000700,0.000000,0.008944,0.000000,0.000040,0.007552,2025-10-22 20:18:30.283,47
1.158700,0.200300,-8.612000,0.012550,0.034190,-171.986877,0.001187,0.000458,0.021354,0.000050,0.000030,0.008875,2025-10-22 20:18:38.997,47
1.120800,0.205600,-7.954000,0.006500,-0.009830,-172.370861,0.000980,0.000490,0.004899,0.000000,0.000046,0.004111,2025-10-22 20:18:46.684,47
1.068400,0.212000,-7.468000,-0.001730,-0.068260,-173.027314,0.000490,0.000000,0.007483,0.000046,0.000049,0.032036,2025-10-22 20:18:50.874,39
1.127200,0.204000,-8.811000,0.007970,-0.002000,-171.589709,0.000980,0.000000,0.020712,0.000046,0.000000,0.004255,2025-10-22 20:18:56.979,47
1.157400,0.195200,51.208000,-0.003050,0.023270,128.148991,0.000800,0.000748,0.009798,0.000050,0.000046,0.011110,2025-10-22 20:19:02.494,47
1.108800,0.130400,52.158000,0.067950,-0.033450,127.271706,0.000748,0.000490,0.007483,0.000050,0.000050,0.038937,2025-10-22 20:19:14.502,39
1.141600,0.171600,51.740000,0.020980,0.003600,127.826533,0.000490,0.000490,0.000000,0.000040,0.000000,0.010765,2025-10-22 20:19:19.487,47
1.115500,0.137400,51.944000,0.059070,-0.026740,127.661733,0.000500,0.000490,0.012000,0.000046,0.000066,0.045045,2025-10-22 20:19:31.795,39
1.114800,0.137000,51.956000,0.059050,-0.026770,127.671072,0.000748,0.000000,0.013565,0.000050,0.000078,0.043978,2025-10-22 20:19:32.883,39
1.114400,0.137000,51.954000,0.059000,-0.026780,127.690847,0.000490,0.000000,0.012000,0.000063,0.000040,0.039388,2025-10-22 20:19:34.830,39
1.132400,0.157800,51.805000,0.036050,-0.008490,127.872677,0.000490,0.000400,0.006708,0.000250,0.000197,0.017510,2025-10-22 20:19:38.394,47
1.129300,0.155700,66.529000,0.036890,-0.012110,113.142857,0.000458,0.000458,0.013748,0.000054,0.000030,0.025672,2025-10-22 20:19:42.783,47
