vloc_x,vloc_y,vloc_yaw,gls_x,gls_y,gls_yaw,vloc_stddev_x,vloc_stddev_y,vloc_stddev_yaw,gls_stddev_x,gls_stddev_y,gls_stddev_yaw,timestamp,status
-0.008300,0.007000,0.442000,0.002200,-0.002610,-90.736656,0.000458,0.000000,0.009798,0.000000,0.000030,0.004395,2025-10-31 09:08:39.021,47
0.034300,0.007900,0.695000,0.051100,-0.002260,-91.357952,0.000640,0.000300,0.006708,0.000045,0.000049,0.019195,2025-10-31 09:08:43.278,39
-0.000300,0.007400,0.496000,0.012300,-0.002600,-90.882778,0.000458,0.000490,0.009165,0.000000,0.000000,0.006861,2025-10-31 09:08:55.883,47
-0.045700,0.005300,0.033000,-0.039970,-0.002600,-90.091739,0.000458,0.000458,0.019519,0.000046,0.000000,0.012234,2025-10-31 09:09:03.474,39
-0.059700,0.006300,-0.455000,-0.054430,-0.002550,-89.644032,0.000458,0.000458,0.012845,0.000046,0.000050,0.017893,2025-10-31 09:09:06.675,39
-0.038000,0.005800,0.336000,-0.030950,-0.002790,-90.460891,0.000000,0.000400,0.004899,0.000081,0.000030,0.015184,2025-10-31 09:09:09.975,47
-0.029800,0.005600,0.480000,-0.021110,-0.002800,-90.598224,0.000748,0.000490,0.018974,0.000151,0.000000,0.010765,2025-10-31 09:09:12.582,47
-0.008400,0.005600,0.960000,0.001600,-0.002700,-91.279397,0.000490,0.000490,0.000000,0.000000,0.000000,0.004395,2025-10-31 09:09:17.763,47
0.010000,0.018800,-87.159000,-0.001600,-0.008300,-3.135044,0.001095,0.000748,0.018682,0.000000,0.000000,0.004944,2025-10-31 09:09:30.270,47
0.011100,-0.000600,-87.933000,-0.000700,-0.030400,-2.518693,0.001375,0.000490,0.029343,0.000000,0.000000,0.007865,2025-10-31 09:09:34.164,47
0.014100,-0.023600,-89.539000,-0.000410,-0.055500,-0.988250,0.001375,0.000917,0.017578,0.000030,0.000000,0.016743,2025-10-31 09:09:37.761,39
0.013800,0.000000,-89.292000,-0.000500,-0.030420,-1.124485,0.000400,0.000000,0.018330,0.000000,0.000040,0.007788,2025-10-31 09:09:41.853,47
0.012200,0.015400,-90.520000,-0.000700,-0.011200,0.201605,0.000980,0.000490,0.000000,0.000000,0.000000,0.003517,2025-10-31 09:09:45.285,47
0.013400,0.030400,-91.172000,-0.000520,0.004250,0.893216,0.000663,0.000490,0.029257,0.000040,0.000150,0.014781,2025-10-31 09:09:48.387,47
0.015800,0.062600,-93.500000,0.000810,0.043710,3.620655,0.001939,0.000490,0.016733,0.000030,0.000030,0.020325,2025-10-31 09:09:51.060,39
0.012200,0.039800,-93.834000,-0.001120,0.016570,3.727226,0.001470,0.001833,0.026907,0.000040,0.000303,0.008942,2025-10-31 09:09:55.284,47
0.012500,0.018600,-95.738000,-0.003500,-0.008200,5.431806,0.001500,0.001428,0.025612,0.000000,0.000000,0.005382,2025-10-31 09:09:57.990,47
0.013000,-0.010300,-179.843000,-0.021900,-0.014860,89.416059,0.000447,0.001269,0.020025,0.000000,0.000049,0.007288,2025-10-31 09:10:07.989,47
-0.013300,-0.010600,179.228000,-0.053300,-0.014550,90.187872,0.000458,0.000917,0.012490,0.000000,0.000050,0.017893,2025-10-31 09:10:12.576,39
-0.002400,-0.010600,179.864000,-0.041060,-0.014710,89.586901,0.000490,0.000490,0.019079,0.000049,0.000030,0.020116,2025-10-31 09:10:19.869,39
0.014700,-0.010100,-179.897000,-0.022000,-0.014890,89.459456,0.000458,0.000831,0.011874,0.000000,0.000030,0.006705,2025-10-31 09:10:25.380,47
0.028300,-0.009700,179.842000,-0.006690,-0.014860,89.731376,0.001187,0.000458,0.032496,0.000070,0.000049,0.013275,2025-10-31 09:10:28.977,47
0.051800,-0.009800,178.654000,0.020000,-0.015020,90.988250,0.000748,0.000400,0.019596,0.000141,0.000040,0.017749,2025-10-31 09:10:32.673,47
0.068400,-0.011200,177.870000,0.038690,-0.015440,91.828181,0.000490,0.000400,0.028983,0.000070,0.000049,0.023313,2025-10-31 09:10:36.666,47
0.043400,-0.009800,179.038000,0.011300,-0.014420,90.610858,0.000490,0.000980,0.014697,0.000000,0.000040,0.006523,2025-10-31 09:10:40.890,47
0.025000,-0.009800,179.608000,-0.009690,-0.013930,89.970336,0.000000,0.000748,0.009798,0.000030,0.000046,0.005182,2025-10-31 09:10:44.652,47
-0.009000,-0.025000,89.050000,-0.020130,-0.016380,-179.341350,0.000775,0.000775,0.000000,0.000046,0.000040,0.007141,2025-10-31 09:10:52.968,47
-0.009000,-0.047800,88.173000,-0.020830,-0.041240,-178.367931,0.000000,0.000400,0.014177,0.000046,0.000049,0.013777,2025-10-31 09:10:59.469,39
-0.008700,-0.031100,89.070000,-0.020320,-0.023710,-179.276528,0.000900,0.000300,0.012649,0.000040,0.000030,0.013908,2025-10-31 09:11:04.749,47
-0.010000,-0.012300,89.616000,-0.019790,-0.004490,-179.928587,0.000000,0.000458,0.019596,0.000030,0.000030,0.015342,2025-10-31 09:11:08.181,47
-0.009000,0.002300,89.602000,-0.019300,0.015350,-179.967040,0.000000,0.000640,0.023580,0.000000,0.000050,0.004913,2025-10-31 09:11:12.372,47
-0.009600,0.014000,89.318000,-0.019020,0.027290,-179.680288,0.000490,0.000447,0.017205,0.000040,0.000122,0.018186,2025-10-31 09:11:17.157,47
