timestamp_nsec,x,y,z,yaw_deg
652130397000,-0.007,0.041,0.53,0.466
652197066000,-0.007,0.041,0.53,0.467
652263719000,-0.007,0.041,0.53,0.465
652330385000,-0.007,0.042,0.53,0.46
652397053000,-0.007,0.042,0.53,0.459
652463723000,-0.006,0.041,0.529,0.478
652530374000,-0.006,0.041,0.53,0.479
652597045000,-0.006,0.041,0.53,0.479
652663696000,-0.006,0.041,0.529,0.477
652730385000,-0.006,0.041,0.529,0.474
652797052000,-0.006,0.041,0.529,0.473
652863712000,-0.006,0.041,0.529,0.478
652930379000,-0.007,0.041,0.529,0.471
652997037000,-0.007,0.041,0.529,0.471
653063676000,-0.006,0.04,0.529,0.485
653130369000,-0.005,0.04,0.529,0.483
653197040000,-0.005,0.04,0.529,0.484
653263682000,-0.013,0.053,0.546,0.387
653330349000,-0.013,0.053,0.546,0.385
653397011000,-0.013,0.053,0.546,0.384
653463660000,-0.013,0.053,0.546,0.384
653530332000,-0.014,0.054,0.546,0.381
653597018000,-0.014,0.054,0.546,0.379
653663648000,-0.013,0.053,0.546,0.395
653730307000,-0.013,0.053,0.546,0.393
653796983000,-0.012,0.053,0.546,0.393
653863659000,-0.013,0.053,0.545,0.394
653930303000,-0.013,0.053,0.545,0.391
653996964000,-0.013,0.053,0.545,0.391
654063637000,-0.013,0.053,0.545,0.391
654130353000,-0.013,0.053,0.546,0.385
654263638000,-0.012,0.052,0.545,0.402
654330282000,-0.012,0.052,0.545,0.401
654396968000,-0.012,0.052,0.545,0.398
654463620000,-0.012,0.052,0.545,0.399
654530278000,-0.012,0.052,0.545,0.397
654596940000,-0.012,0.052,0.545,0.396
654663613000,-0.012,0.052,0.545,0.397
654730266000,-0.012,0.053,0.545,0.393
654796930000,-0.03,0.046,0.547,359.97
654863606000,-0.029,0.045,0.547,359.986
654930267000,-0.029,0.045,0.547,359.984
654996951000,-0.029,0.045,0.547,359.985
655063599000,-0.029,0.045,0.546,359.986
655130259000,-0.029,0.045,0.546,359.986
655196923000,-0.029,0.045,0.546,359.984
655263577000,-0.029,0.045,0.546,359.987
655330248000,-0.03,0.045,0.547,359.982
655396901000,-0.03,0.045,0.546,359.981
655463573000,-0.029,0.045,0.546,359.994
655530229000,-0.029,0.044,0.546,359.993
655596896000,-0.029,0.044,0.546,359.993
655663559000,-0.029,0.045,0.546,359.993
655730222000,-0.029,0.045,0.546,359.991
655796885000,-0.029,0.045,0.546,359.989
655863563000,-0.029,0.045,0.546,359.993
655930209000,-0.029,0.045,0.546,359.987
655996873000,-0.029,0.045,0.546,359.988
656063546000,-0.028,0.044,0.546,359.999
656130213000,-0.028,0.044,0.546,359.999
656196878000,-0.028,0.044,0.546,359.997
656263533000,-0.029,0.044,0.546,359.998
656330196000,-0.028,0.044,0.546,359.995
656396850000,-0.028,0.044,0.546,359.995
656463522000,-0.028,0.044,0.546,359.998
656530208000,-0.029,0.045,0.546,359.994
656596845000,-0.029,0.045,0.546,359.991
656663518000,-0.028,0.044,0.546,0.007
656730171000,-0.028,0.044,0.546,0.005
656796875000,-0.028,0.044,0.546,0.005
656863505000,-0.027,0.044,0.546,0.006
656930189000,-0.028,0.044,0.546,0.005
656996832000,-0.028,0.044,0.545,0.002
657063494000,-0.028,0.044,0.545,0.006
657130183000,-0.028,0.044,0.546,0
657196837000,-0.028,0.044,0.546,0
657263502000,-0.027,0.043,0.545,0.015
657330147000,-0.027,0.043,0.545,0.011
657396837000,-0.027,0.043,0.545,0.011
657463484000,-0.028,0.043,0.545,0.012
657530141000,-0.027,0.044,0.545,0.008
657596817000,-0.028,0.044,0.545,0.007
657663538000,-0.027,0.044,0.545,0.006
657730128000,-0.026,0.044,0.547,0.001
657796796000,-0.019,0.044,0.549,0.018
657863455000,-0.005,0.044,0.555,0.03
657930124000,0.019,0.044,0.563,0.072
657996806000,0.054,0.044,0.572,0.139
658063453000,0.093,0.043,0.581,0.166
658130116000,0.14,0.043,0.585,0.298
658197025000,0.185,0.045,0.585,0.362
658263433000,0.225,0.049,0.584,0.385
658330100000,0.254,0.049,0.579,0.463
658396766000,0.274,0.048,0.572,0.538
658463435000,0.288,0.047,0.568,0.576
658530095000,0.296,0.047,0.566,0.598
658596760000,0.3,0.047,0.564,0.612
658663416000,0.301,0.047,0.563,0.622
658730092000,0.302,0.047,0.564,0.604
658796753000,0.301,0.047,0.565,0.613
658863440000,0.299,0.047,0.564,0.607
658930091000,0.298,0.047,0.564,0.594
658996759000,0.298,0.047,0.564,0.597
659063426000,0.297,0.047,0.564,0.595
659130066000,0.296,0.046,0.563,0.602
659196746000,0.296,0.046,0.564,0.603
659263394000,0.297,0.045,0.565,0.617
659330041000,0.301,0.045,0.57,0.606
659396731000,0.306,0.045,0.578,0.607
659463392000,0.313,0.045,0.59,0.593
659530045000,0.321,0.045,0.601,0.602
659596707000,0.328,0.045,0.612,0.583
659663365000,0.334,0.046,0.62,0.587
659730036000,0.339,0.046,0.626,0.571
