timestamp_nsec,x,y,z,yaw_deg
183274912000,-0.856,0.099,-3.113,179.51
183341586000,-0.863,0.107,-3.114,179.447
183408230000,-0.863,0.107,-3.113,179.451
183474887000,-0.863,0.108,-3.114,179.445
183541552000,-0.863,0.107,-3.114,179.448
183608217000,-0.864,0.107,-3.114,179.45
183674883000,-0.863,0.107,-3.114,179.435
183741541000,-0.863,0.107,-3.114,179.455
183808204000,-0.863,0.107,-3.114,179.451
183874862000,-0.872,0.099,-3.112,179.73
183941530000,-0.873,0.1,-3.113,179.732
184008201000,-0.874,0.1,-3.113,179.739
184074859000,-0.873,0.1,-3.112,179.736
184141524000,-0.872,0.099,-3.112,179.737
184208188000,-0.872,0.1,-3.112,179.734
184274847000,-0.873,0.1,-3.113,179.741
184341513000,-0.874,0.1,-3.112,179.741
184408170000,-0.869,0.119,-3.111,179.185
184474839000,-0.869,0.12,-3.111,179.164
184541507000,-0.869,0.121,-3.112,179.159
184608175000,-0.87,0.121,-3.112,179.162
184674834000,-0.871,0.122,-3.112,179.159
184741495000,-0.871,0.121,-3.112,179.162
184808156000,-0.87,0.12,-3.112,179.166
184874825000,-0.868,0.12,-3.111,179.162
184941481000,-0.871,0.093,-3.106,179.871
185008155000,-0.87,0.096,-3.106,179.841
185074818000,-0.87,0.096,-3.106,179.847
185141478000,-0.871,0.095,-3.106,179.845
185208152000,-0.87,0.096,-3.106,179.839
185274808000,-0.87,0.095,-3.106,179.839
185341472000,-0.872,0.096,-3.107,179.851
185408147000,-0.87,0.095,-3.106,179.847
185474797000,-0.874,0.117,-3.119,179.354
185541490000,-0.874,0.116,-3.119,179.37
185608154000,-0.873,0.116,-3.119,179.359
185674811000,-0.873,0.117,-3.119,179.355
185741482000,-0.875,0.119,-3.12,179.355
185808120000,-0.872,0.117,-3.119,179.349
185874779000,-0.874,0.118,-3.12,179.345
185941475000,-0.872,0.117,-3.119,179.343
186008152000,-0.867,0.112,-3.091,179.395
186074819000,-0.868,0.112,-3.091,179.398
186141434000,-0.867,0.112,-3.092,179.395
186208118000,-0.868,0.113,-3.092,179.39
186274779000,-0.868,0.112,-3.091,179.396
186341466000,-0.868,0.112,-3.092,179.397
186408121000,-0.867,0.111,-3.091,179.404
186474782000,-0.868,0.112,-3.091,179.398
186541435000,-0.866,0.1,-3.11,179.667
186608097000,-0.867,0.101,-3.11,179.662
186674748000,-0.866,0.101,-3.111,179.662
186741402000,-0.866,0.1,-3.11,179.669
186808076000,-0.865,0.101,-3.11,179.661
186874737000,-0.866,0.101,-3.111,179.656
186941433000,-0.866,0.1,-3.11,179.669
187008067000,-0.867,0.101,-3.111,179.664
187074729000,-0.877,0.117,-3.117,178.984
187141397000,-0.876,0.117,-3.117,178.982
187208053000,-0.877,0.118,-3.117,178.982
187274711000,-0.876,0.117,-3.117,178.984
187341387000,-0.877,0.118,-3.118,178.983
187408091000,-0.876,0.117,-3.117,178.988
187474744000,-0.876,0.118,-3.117,178.983
187541410000,-0.875,0.118,-3.117,178.974
187608080000,-0.876,0.093,-3.11,179.765
187674755000,-0.876,0.093,-3.11,179.761
187741406000,-0.875,0.094,-3.11,179.766
187808070000,-0.873,0.093,-3.11,179.764
187874732000,-0.877,0.093,-3.109,179.773
187941411000,-0.875,0.093,-3.11,179.776
188008068000,-0.874,0.093,-3.11,179.771
188074739000,-0.883,0.096,-3.109,179.808
188141404000,-0.884,0.098,-3.11,179.814
188208076000,-0.883,0.097,-3.109,179.832
188274732000,-0.815,0.078,-3.089,179.717
188341407000,-0.826,0.074,-3.09,179.71
188408077000,-0.783,0.044,-3.074,179.622
188474763000,-0.813,0.063,-3.095,179.599
188541387000,-0.825,0.067,-3.1,179.638
188608061000,-0.835,0.07,-3.101,179.686
188674709000,-0.835,0.07,-3.102,179.69
188741384000,-0.835,0.07,-3.102,179.689
188808044000,-0.835,0.07,-3.102,179.691
188874703000,-0.835,0.07,-3.102,179.691
188941343000,-0.766,0.057,-3.092,179.802
189008019000,-0.693,0.018,-3.072,179.611
189074676000,-0.836,0.071,-3.1,179.731
189141335000,-0.884,0.124,-3.118,179.771
189208032000,-0.884,0.124,-3.119,179.772
189274668000,-0.885,0.124,-3.119,179.783
189341336000,-0.885,0.124,-3.119,179.783
189408013000,-0.885,0.124,-3.119,179.788
189474685000,-0.885,0.124,-3.119,179.786
189541348000,-0.862,0.117,-3.115,179.753
189607982000,-0.856,0.118,-3.115,179.775
189674691000,-0.876,0.099,-3.122,179.822
