timestamp_nsec,x,y,z,yaw_deg
1733332336000,-2.944,-6.665,0.281,178.644
1733398994000,-2.944,-6.665,0.281,178.645
1733465665000,-2.944,-6.665,0.281,178.641
1733532335000,-2.944,-6.665,0.281,178.645
1733598995000,-2.944,-6.665,0.281,178.644
1733665658000,-2.944,-6.665,0.281,178.644
1733732316000,-2.944,-6.665,0.281,178.641
1733798952000,-2.944,-6.665,0.281,178.652
1733865621000,-2.944,-6.665,0.281,178.646
1733932292000,-2.944,-6.665,0.281,178.647
1733999018000,-2.944,-6.665,0.281,178.647
1734065625000,-2.944,-6.665,0.281,178.647
1734132294000,-2.944,-6.665,0.281,178.64
1734198953000,-2.944,-6.665,0.28,178.649
1734265629000,-2.944,-6.665,0.28,178.646
1734332281000,-2.944,-6.665,0.28,178.644
1734398954000,-2.944,-6.665,0.281,178.648
1734465609000,-2.944,-6.665,0.281,178.644
1734532307000,-2.944,-6.665,0.28,178.65
1734598964000,-2.944,-6.665,0.281,178.653
1734665614000,-2.944,-6.665,0.28,178.65
1734732278000,-2.944,-6.665,0.28,178.649
1734798968000,-2.944,-6.665,0.281,178.647
1734865603000,-2.944,-6.665,0.28,178.651
1734932357000,-2.944,-6.665,0.28,178.652
1734998915000,-2.944,-6.665,0.281,178.653
1735065611000,-2.944,-6.665,0.281,178.647
1735132268000,-2.944,-6.665,0.281,178.647
1735198936000,-2.944,-6.665,0.28,178.645
1735265574000,-2.944,-6.665,0.281,178.646
1735332253000,-2.944,-6.665,0.28,178.646
1735398894000,-2.944,-6.665,0.28,178.647
1735465591000,-2.944,-6.665,0.28,178.65
1735532254000,-2.944,-6.665,0.28,178.654
1735598929000,-2.944,-6.665,0.28,178.648
1735665590000,-2.944,-6.665,0.28,178.65
1735732361000,-2.944,-6.665,0.28,178.646
1735799078000,-2.944,-6.665,0.28,178.645
1735865564000,-2.944,-6.665,0.28,178.645
1735932231000,-2.944,-6.665,0.28,178.648
1735998918000,-2.944,-6.665,0.28,178.644
1736065558000,-2.944,-6.665,0.28,178.649
1736132220000,-2.944,-6.665,0.28,178.645
1736198882000,-2.944,-6.665,0.28,178.645
1736265655000,-2.944,-6.665,0.281,178.64
1736332229000,-2.944,-6.665,0.28,178.649
1736398883000,-2.944,-6.665,0.281,178.646
1736465555000,-2.944,-6.665,0.28,178.649
1736532347000,-2.944,-6.665,0.281,178.648
1736598888000,-2.944,-6.665,0.28,178.649
1736665546000,-2.944,-6.665,0.281,178.648
1736732194000,-2.944,-6.665,0.28,178.649
1736798889000,-2.944,-6.665,0.281,178.65
1736865534000,-2.944,-6.665,0.28,178.65
1736932190000,-2.944,-6.665,0.28,178.645
1736998854000,-2.944,-6.665,0.281,178.648
1737065524000,-2.944,-6.665,0.281,178.645
1737132185000,-2.944,-6.665,0.28,178.642
1737198986000,-2.944,-6.665,0.28,178.648
1737265629000,-2.944,-6.665,0.281,178.648
1737332264000,-2.944,-6.665,0.281,178.648
1737398960000,-2.944,-6.665,0.28,178.649
1737465595000,-2.944,-6.665,0.28,178.646
1737532240000,-2.944,-6.665,0.28,178.65
1737598932000,-2.944,-6.665,0.281,178.647
1737665569000,-2.944,-6.665,0.281,178.647
1737732270000,-2.944,-6.665,0.28,178.648
1737798913000,-2.944,-6.665,0.281,178.642
1737865582000,-2.944,-6.665,0.281,178.645
1737932239000,-2.944,-6.665,0.28,178.648
1737998904000,-2.944,-6.665,0.281,178.644
1738065575000,-2.944,-6.665,0.28,178.649
1738132251000,-2.944,-6.665,0.28,178.642
1738198887000,-2.944,-6.665,0.28,178.65
1738265546000,-2.944,-6.665,0.28,178.643
1738332210000,-2.944,-6.665,0.28,178.647
1738398871000,-2.944,-6.665,0.281,178.643
1738465565000,-2.944,-6.665,0.281,178.645
1738532272000,-2.944,-6.665,0.28,178.646
1738598919000,-2.944,-6.665,0.28,178.649
1738665565000,-2.944,-6.665,0.28,178.651
1738732214000,-2.944,-6.665,0.28,178.648
1738798931000,-2.944,-6.665,0.28,178.648
1738865527000,-2.944,-6.665,0.28,178.646
1738932182000,-2.944,-6.665,0.28,178.651
1738998834000,-2.944,-6.665,0.28,178.648
1739065514000,-2.944,-6.665,0.28,178.651
1739132267000,-2.944,-6.665,0.28,178.644
1739198881000,-2.944,-6.665,0.28,178.648
1739265524000,-2.944,-6.665,0.28,178.649
1739332211000,-2.944,-6.665,0.28,178.643
1739398855000,-2.944,-6.665,0.28,178.647
1739465509000,-2.944,-6.665,0.28,178.647
1739532176000,-2.944,-6.665,0.28,178.643
1739598802000,-2.944,-6.665,0.28,178.647
1739665680000,-2.944,-6.665,0.28,178.623
1739732135000,-2.944,-6.665,0.28,178.646
1739798794000,-2.944,-6.665,0.28,178.636
1739865460000,-2.944,-6.665,0.28,178.637
1739932133000,-2.944,-6.665,0.28,178.634
1739998799000,-2.944,-6.665,0.28,178.636
1740065449000,-2.944,-6.665,0.28,178.642
1740132112000,-2.944,-6.665,0.28,178.635
1740198814000,-2.944,-6.665,0.28,178.647
1740265446000,-2.944,-6.665,0.28,178.641
1740332105000,-2.944,-6.665,0.28,178.649
1740398771000,-2.944,-6.665,0.28,178.646
1740465483000,-2.944,-6.665,0.28,178.661
